letter_li,number_li
"['m', 'o', 'n', 'o', 'g', 'r', 'a', 'n', 'u', 'l', 'a', 'r']","[14, 16, 15, 16, 8, 19, 2, 15, 22, 13, 2, 19]"
"['m', 'o', 'n', 'o', 'j', 'e', 't']","[14, 16, 15, 16, 11, 6, 21]"
"['m', 'o', 'n', 'o', 'k', 'i', 'n', 'i']","[14, 16, 15, 16, 12, 10, 15, 10]"
"['m', 'o', 'n', 'o', 'l', 'i', 'n', 'g', 'u', 'a', 'l']","[14, 16, 15, 16, 13, 10, 15, 8, 22, 2, 13]"
"['m', 'o', 'n', 'o', 'l', 'i', 'n', 'g', 'u', 'a', 'l', 'l', 'y']","[14, 16, 15, 16, 13, 10, 15, 8, 22, 2, 13, 13, 26]"
"['m', 'o', 'n', 'o', 'l', 'i', 't', 'h']","[14, 16, 15, 16, 13, 10, 21, 9]"
"['m', 'o', 'n', 'o', 'l', 'i', 't', 'h', 'a', 'l']","[14, 16, 15, 16, 13, 10, 21, 9, 2, 13]"
"['m', 'o', 'n', 'o', 'm', 'a', 'n', 'i', 'a', 'c', 'a', 'l']","[14, 16, 15, 16, 14, 2, 15, 10, 2, 4, 2, 13]"
"['m', 'o', 'n', 'o', 'm', 'a', 'n', 'i', 'a', 'c', 'a', 'l', 'l', 'y']","[14, 16, 15, 16, 14, 2, 15, 10, 2, 4, 2, 13, 13, 26]"
"['m', 'o', 'n', 'o', 'm', 'e', 't', 'r', 'i', 'c']","[14, 16, 15, 16, 14, 6, 21, 19, 10, 4]"
"['m', 'o', 'n', 'o', 'n', 'u', 'c', 'l', 'e', 'o', 's', 'i', 's']","[14, 16, 15, 16, 15, 22, 4, 13, 6, 16, 20, 10, 20]"
"['m', 'o', 'n', 'o', 'p', 'h', 'a', 's', 'e']","[14, 16, 15, 16, 17, 9, 2, 20, 6]"
"['m', 'o', 'n', 'o', 'p', 'o', 'l', 'e']","[14, 16, 15, 16, 17, 16, 13, 6]"
"['m', 'o', 'n', 'o', 'p', 'o', 'l', 'i', 's', 't', 'i', 'c']","[14, 16, 15, 16, 17, 16, 13, 10, 20, 21, 10, 4]"
"['m', 'o', 'n', 'o', 'p', 'o', 'l', 'y']","[14, 16, 15, 16, 17, 16, 13, 26]"
"['m', 'o', 'n', 'o', 'p', 'o', 'l', 'y', 'l', 'i', 'k', 'e']","[14, 16, 15, 16, 17, 16, 13, 26, 13, 10, 12, 6]"
"['m', 'o', 'n', 'o', 'p', 's', 'y', 'c', 'h', 'i', 's', 'm']","[14, 16, 15, 16, 17, 20, 26, 4, 9, 10, 20, 14]"
"['m', 'o', 'n', 'o', 'p', 't', 'e', 'r', 'o', 's']","[14, 16, 15, 16, 17, 21, 6, 19, 16, 20]"
"['m', 'o', 'n', 'o', 'p', 't', 'o', 't', 'e']","[14, 16, 15, 16, 17, 21, 16, 21, 6]"
"['m', 'o', 'n', 'o', 's', 'k', 'i']","[14, 16, 15, 16, 20, 12, 10]"
"['m', 'o', 'n', 'o', 's', 'p', 'e', 'c', 'i', 'e', 's']","[14, 16, 15, 16, 20, 17, 6, 4, 10, 6, 20]"
"['m', 'o', 'n', 'o', 's', 'p', 'h', 'e', 'r', 'i', 'c', 'a', 'l']","[14, 16, 15, 16, 20, 17, 9, 6, 19, 10, 4, 2, 13]"
"['m', 'o', 'n', 'o', 's', 't', 'r', 'a', 't', 'a', 'l']","[14, 16, 15, 16, 20, 21, 19, 2, 21, 2, 13]"
"['m', 'o', 'n', 'o', 's', 'y', 'l', 'l', 'a', 'b', 'i', 'c']","[14, 16, 15, 16, 20, 26, 13, 13, 2, 3, 10, 4]"
"['m', 'o', 'n', 'o', 's', 'y', 'l', 'l', 'a', 'b', 'i', 'c', 'a', 'l', 'l', 'y']","[14, 16, 15, 16, 20, 26, 13, 13, 2, 3, 10, 4, 2, 13, 13, 26]"
"['m', 'o', 'n', 'o', 's', 'y', 'l', 'l', 'a', 'b', 'i', 'c', 'i', 't', 'y']","[14, 16, 15, 16, 20, 26, 13, 13, 2, 3, 10, 4, 10, 21, 26]"
"['m', 'o', 'n', 'o', 's', 'y', 'm', 'm', 'e', 't', 'r', 'i', 'c']","[14, 16, 15, 16, 20, 26, 14, 14, 6, 21, 19, 10, 4]"
"['m', 'o', 'n', 'o', 't', 'r', 'e', 'm', 'e']","[14, 16, 15, 16, 21, 19, 6, 14, 6]"
"['m', 'o', 'n', 'o', 'v', 'i', 's', 'i', 'o', 'n']","[14, 16, 15, 16, 23, 10, 20, 10, 16, 15]"
"['m', 'o', 'n', 's']","[14, 16, 15, 20]"
"['m', 'o', 'n', 's', 'e', 'i', 'g', 'n', 'e', 'u', 'r']","[14, 16, 15, 20, 6, 10, 8, 15, 6, 22, 19]"
"['m', 'o', 'n', 's', 'o', 'o', 'n']","[14, 16, 15, 20, 16, 16, 15]"
"['m', 'o', 'n', 's', 'o', 'o', 'n', 'l', 'i', 'k', 'e']","[14, 16, 15, 20, 16, 16, 15, 13, 10, 12, 6]"
"['m', 'o', 'n', 's', 't', 'e', 'r', 'a']","[14, 16, 15, 20, 21, 6, 19, 2]"
"['m', 'o', 'n', 's', 't', 'r', 'a', 't', 'i', 'o', 'n']","[14, 16, 15, 20, 21, 19, 2, 21, 10, 16, 15]"
"['m', 'o', 'n', 's', 't', 'r', 'o', 's', 'i', 't', 'y']","[14, 16, 15, 20, 21, 19, 16, 20, 10, 21, 26]"
"['m', 'o', 'n', 't', 'a', 'g', 'e']","[14, 16, 15, 21, 2, 8, 6]"
"['m', 'o', 'n', 't', 'a', 'n', 'e']","[14, 16, 15, 21, 2, 15, 6]"
"['m', 'o', 'n', 't', 'a', 'n', 'i', 'c']","[14, 16, 15, 21, 2, 15, 10, 4]"
"['m', 'o', 'n', 't', 'a', 'n', 't']","[14, 16, 15, 21, 2, 15, 21]"
"['m', 'o', 'n', 't', 'e', 'r', 'o']","[14, 16, 15, 21, 6, 19, 16]"
"['m', 'o', 'n', 't', 'i', 'c', 'l', 'e']","[14, 16, 15, 21, 10, 4, 13, 6]"
"['m', 'o', 'n', 't', 'i', 'f', 'o', 'r', 'm']","[14, 16, 15, 21, 10, 7, 16, 19, 14]"
"['m', 'o', 'n', 'u', 'm', 'e', 'n', 't']","[14, 16, 15, 22, 14, 6, 15, 21]"
"['m', 'o', 'o', ' ', 's', 'h', 'u']","[14, 16, 16, 0, 20, 9, 22]"
"['m', 'o', 'o', 'c', 'h', ' ', 'a', 's', 's', ' ', 'g', 'r', 'a', 's', 's', 'y', ' ', 'a', 's', 's']","[14, 16, 16, 4, 9, 0, 2, 20, 20, 0, 8, 19, 2, 20, 20, 26, 0, 2, 20, 20]"
"['m', 'o', 'o', 'n', 'a', 'c', 'k']","[14, 16, 16, 15, 2, 4, 12]"
"['m', 'o', 'o', 's', 'e']","[14, 16, 16, 20, 6]"
"['m', 'o', 'o', 's', 'e', 'b', 'u', 'r', 'g', 'e', 'r']","[14, 16, 16, 20, 6, 3, 22, 19, 8, 6, 19]"
"['m', 'o', 'o', 's', 'e', 's', 'k', 'i', 'n']","[14, 16, 16, 20, 6, 20, 12, 10, 15]"
"['m', 'o', 'o', 's', 'e', 'w', 'o', 'o', 'd']","[14, 16, 16, 20, 6, 24, 16, 16, 5]"
"['m', 'o', 'o', 't', 'e', 'r']","[14, 16, 16, 21, 6, 19]"
"['m', 'o', 'p', 'a', 'n', 'e']","[14, 16, 17, 2, 15, 6]"
"['m', 'o', 'q', 'u', 'e', 'c', 'a']","[14, 16, 18, 22, 6, 4, 2]"
"['m', 'o', 'q', 'u', 'e', 't', 't', 'e']","[14, 16, 18, 22, 6, 21, 21, 6]"
"['m', 'o', 'r', 'a']","[14, 16, 19, 2]"
"['m', 'o', 'r', 'a', 'c', 'e', 'o', 'u', 's']","[14, 16, 19, 2, 4, 6, 16, 22, 20]"
"['m', 'o', 'r', 'a', 'i', 'c']","[14, 16, 19, 2, 10, 4]"
"['m', 'o', 'r', 'a', 'i', 'n', 'e']","[14, 16, 19, 2, 10, 15, 6]"
"['m', 'o', 'r', 'a', 'i', 'n', 'i', 'c']","[14, 16, 19, 2, 10, 15, 10, 4]"
"['m', 'o', 'r', 'a', 'l']","[14, 16, 19, 2, 13]"
"['m', 'o', 'r', 'a', 'l', 'e']","[14, 16, 19, 2, 13, 6]"
"['m', 'o', 'r', 'a', 'l', 'i', 's', 't', 'i', 'c']","[14, 16, 19, 2, 13, 10, 20, 21, 10, 4]"
"['m', 'o', 'r', 'a', 'l', 'i', 't', 'y']","[14, 16, 19, 2, 13, 10, 21, 26]"
"['m', 'o', 'r', 'a', 'l', 'l', 'e', 'r']","[14, 16, 19, 2, 13, 13, 6, 19]"
"['m', 'o', 'r', 'a', 'l', 'l', 'e', 's', 's']","[14, 16, 19, 2, 13, 13, 6, 20, 20]"
"['m', 'o', 'r', 'a', 'l', 'l', 'y']","[14, 16, 19, 2, 13, 13, 26]"
"['m', 'o', 'r', 'a', 't', 'i', 'o', 'n']","[14, 16, 19, 2, 21, 10, 16, 15]"
"['m', 'o', 'r', 'a', 'y']","[14, 16, 19, 2, 26]"
"['m', 'o', 'r', 'b', 'i', 'd']","[14, 16, 19, 3, 10, 5]"
"['m', 'o', 'r', 'b', 'i', 'd', 'e', 'z', 'z', 'a']","[14, 16, 19, 3, 10, 5, 6, 27, 27, 2]"
"['m', 'o', 'r', 'b', 'i', 'f', 'i', 'c']","[14, 16, 19, 3, 10, 7, 10, 4]"
"['m', 'o', 'r', 'b', 'i', 'f', 'i', 'c', 'a', 'l', 'l', 'y']","[14, 16, 19, 3, 10, 7, 10, 4, 2, 13, 13, 26]"
"['m', 'o', 'r', 'b', 'o', 's', 'e']","[14, 16, 19, 3, 16, 20, 6]"
"['m', 'o', 'r', 'b', 'o', 's', 'i', 't', 'y']","[14, 16, 19, 3, 16, 20, 10, 21, 26]"
"['m', 'o', 'r', 'c', 'e', 'l', 'l', 'a', 't', 'e']","[14, 16, 19, 4, 6, 13, 13, 2, 21, 6]"
"['m', 'o', 'r', 'c', 'e', 'l', 'l', 'a', 't', 'i', 'o', 'n']","[14, 16, 19, 4, 6, 13, 13, 2, 21, 10, 16, 15]"
"['m', 'o', 'r', 'c', 'e', 'l', 'l', 'a', 't', 'o', 'r']","[14, 16, 19, 4, 6, 13, 13, 2, 21, 16, 19]"
"['m', 'o', 'r', 'c', 'i', 'l', 'l', 'a']","[14, 16, 19, 4, 10, 13, 13, 2]"
"['m', 'o', 'r', 'd', 'i', 'c', 'a', 'n', 't']","[14, 16, 19, 5, 10, 4, 2, 15, 21]"
"['m', 'o', 'r', 'd', 'i', 'c', 'a', 't', 'i', 'o', 'n']","[14, 16, 19, 5, 10, 4, 2, 21, 10, 16, 15]"
"['m', 'o', 'r', 'd', 'i', 'c', 'a', 't', 'i', 'v', 'e']","[14, 16, 19, 5, 10, 4, 2, 21, 10, 23, 6]"
"['m', 'o', 'r', 'e', 'd', 'o', 'm']","[14, 16, 19, 6, 5, 16, 14]"
"['m', 'o', 'r', 'e', 'f', 'o', 'l', 'd']","[14, 16, 19, 6, 7, 16, 13, 5]"
"['m', 'o', 'r', 'e', 'n', 'e', 's', 's']","[14, 16, 19, 6, 15, 6, 20, 20]"
"['m', 'o', 'r', 'e', 'o', 'v', 'e', 'r']","[14, 16, 19, 6, 16, 23, 6, 19]"
"['m', 'o', 'r', 'g', 'a', 'n', 'a', 't', 'i', 'c']","[14, 16, 19, 8, 2, 15, 2, 21, 10, 4]"
"['m', 'o', 'r', 'g', 'a', 'n', 'a', 't', 'i', 'c', 'a', 'l', 'l', 'y']","[14, 16, 19, 8, 2, 15, 2, 21, 10, 4, 2, 13, 13, 26]"
"['m', 'o', 'r', 'g', 'e', 'n']","[14, 16, 19, 8, 6, 15]"
"['m', 'o', 'r', 'g', 'u', 'e']","[14, 16, 19, 8, 22, 6]"
"['m', 'o', 'r', 'g', 'u', 'e', 'l', 'i', 'k', 'e']","[14, 16, 19, 8, 22, 6, 13, 10, 12, 6]"
"['m', 'o', 'r', 'i', 'b', 'u', 'n', 'd']","[14, 16, 19, 10, 3, 22, 15, 5]"
"['m', 'o', 'r', 'i', 'b', 'u', 'n', 'd', 'i', 't', 'y']","[14, 16, 19, 10, 3, 22, 15, 5, 10, 21, 26]"
"['m', 'o', 'r', 'i', 'b', 'u', 'n', 'd', 'l', 'y']","[14, 16, 19, 10, 3, 22, 15, 5, 13, 26]"
"['m', 'o', 'r', 'i', 'b', 'u', 'n', 'd', 'n', 'e', 's', 's']","[14, 16, 19, 10, 3, 22, 15, 5, 15, 6, 20, 20]"
"['m', 'o', 'r', 'i', 'g', 'e', 'r', 'a', 't', 'i', 'o', 'n']","[14, 16, 19, 10, 8, 6, 19, 2, 21, 10, 16, 15]"
"['m', 'o', 'r', 'i', 'n', ' ', 'k', 'h', 'u', 'u', 'r']","[14, 16, 19, 10, 15, 0, 12, 9, 22, 22, 19]"
"['m', 'o', 'r', 'i', 'o', 'n']","[14, 16, 19, 10, 16, 15]"
"['m', 'o', 'r', 'o', 's', 'e']","[14, 16, 19, 16, 20, 6]"
"['m', 'o', 'r', 'o', 's', 'e', 'n', 'e', 's', 's']","[14, 16, 19, 16, 20, 6, 15, 6, 20, 20]"
"['m', 'o', 'r', 'o', 's', 'i', 't', 'y']","[14, 16, 19, 16, 20, 10, 21, 26]"
"['m', 'o', 'r', 'p', 'h', 'e', 'm', 'e']","[14, 16, 19, 17, 9, 6, 14, 6]"
"['m', 'o', 'r', 'p', 'h', 'o', 'd', 'y', 'n', 'a', 'm', 'i', 'c']","[14, 16, 19, 17, 9, 16, 5, 26, 15, 2, 14, 10, 4]"
"['m', 'o', 'r', 'p', 'h', 'o', 'n', 'u', 'c', 'l', 'e', 'a', 'r']","[14, 16, 19, 17, 9, 16, 15, 22, 4, 13, 6, 2, 19]"
"['m', 'o', 'r', 'p', 'h', 'o', 's', 'i', 's']","[14, 16, 19, 17, 9, 16, 20, 10, 20]"
"['m', 'o', 'r', 's', 'e']","[14, 16, 19, 20, 6]"
"['m', 'o', 'r', 't', 'a', 'd', 'e', 'l', 'l', 'a']","[14, 16, 19, 21, 2, 5, 6, 13, 13, 2]"
"['m', 'o', 'r', 't', 'a', 'l']","[14, 16, 19, 21, 2, 13]"
"['m', 'o', 'r', 't', 'a', 'l', 'i', 'z', 'e']","[14, 16, 19, 21, 2, 13, 10, 27, 6]"
"['m', 'o', 'r', 't', 'a', 'l', 'n', 'e', 's', 's']","[14, 16, 19, 21, 2, 13, 15, 6, 20, 20]"
"['m', 'o', 'r', 't', 'a', 'r', 'i', 'u', 'm']","[14, 16, 19, 21, 2, 19, 10, 22, 14]"
"['m', 'o', 'r', 't', 'g', 'a', 'g', 'e']","[14, 16, 19, 21, 8, 2, 8, 6]"
"['m', 'o', 'r', 't', 'g', 'a', 'g', 'e', 'l', 'e', 's', 's']","[14, 16, 19, 21, 8, 2, 8, 6, 13, 6, 20, 20]"
"['m', 'o', 'r', 't', 'i', 'f', 'i', 'e', 'r']","[14, 16, 19, 21, 10, 7, 10, 6, 19]"
"['m', 'o', 'r', 't', 'i', 'f', 'y']","[14, 16, 19, 21, 10, 7, 26]"
"['m', 'o', 'r', 't', 'm', 'a', 'i', 'n']","[14, 16, 19, 21, 14, 2, 10, 15]"
"['m', 'o', 'r', 't', 'u', 'a', 'r', 'y']","[14, 16, 19, 21, 22, 2, 19, 26]"
"['m', 'o', 's', 'h', 'a', 'v']","[14, 16, 20, 9, 2, 23]"
"['m', 'o', 's', 'h', 'a', 'v', 'a']","[14, 16, 20, 9, 2, 23, 2]"
"['m', 'o', 's', 'k']","[14, 16, 20, 12]"
"['m', 'o', 's', 'q', 'u', 'e']","[14, 16, 20, 18, 22, 6]"
"['m', 'o', 's', 'q', 'u', 'e', 'l', 'e', 's', 's']","[14, 16, 20, 18, 22, 6, 13, 6, 20, 20]"
"['m', 'o', 's', 'q', 'u', 'e', 'l', 'i', 'k', 'e']","[14, 16, 20, 18, 22, 6, 13, 10, 12, 6]"
"['m', 'o', 's', 'q', 'u', 'i', 't', 'o']","[14, 16, 20, 18, 22, 10, 21, 16]"
"['m', 'o', 's', 'q', 'u', 'i', 't', 'o', 'c', 'i', 'd', 'e']","[14, 16, 20, 18, 22, 10, 21, 16, 4, 10, 5, 6]"
"['m', 'o', 's', 'q', 'u', 'i', 't', 'o', 'e', 'd']","[14, 16, 20, 18, 22, 10, 21, 16, 6, 5]"
"['m', 'o', 't']","[14, 16, 21]"
"['m', 'o', 't', 'a', 't', 'i', 'o', 'n']","[14, 16, 21, 2, 21, 10, 16, 15]"
"['m', 'o', 't', 'e', 'l']","[14, 16, 21, 6, 13]"
"['m', 'o', 't', 'i', 'l', 'e']","[14, 16, 21, 10, 13, 6]"
"['m', 'o', 't', 'i', 'o', 'n']","[14, 16, 21, 10, 16, 15]"
"['m', 'o', 't', 'i', 'o', 'n', 'l', 'e', 's', 's']","[14, 16, 21, 10, 16, 15, 13, 6, 20, 20]"
"['m', 'o', 't', 'o', 'r']","[14, 16, 21, 16, 19]"
"['m', 'o', 't', 'o', 'r', 'a', 'b', 'l', 'e']","[14, 16, 21, 16, 19, 2, 3, 13, 6]"
"['m', 'o', 't', 'o', 'r', 'd', 'r', 'o', 'm', 'e']","[14, 16, 21, 16, 19, 5, 19, 16, 14, 6]"
"['m', 'o', 't', 'o', 'r', 'i', 'c']","[14, 16, 21, 16, 19, 10, 4]"
"['m', 'o', 't', 'o', 'r', 'i', 'c', 'a', 'l', 'l', 'y']","[14, 16, 21, 16, 19, 10, 4, 2, 13, 13, 26]"
"['m', 'o', 't', 'o', 'r', 'l', 'e', 's', 's']","[14, 16, 21, 16, 19, 13, 6, 20, 20]"
"['m', 'o', 't', 'o', 'r', 'l', 'i', 'k', 'e']","[14, 16, 21, 16, 19, 13, 10, 12, 6]"
"['m', 'o', 't', 'o', 'r', 'm', 'a', 'n']","[14, 16, 21, 16, 19, 14, 2, 15]"
"['m', 'o', 't', 'o', 'r', 'p', 'h', 'o', 'b', 'i', 'a']","[14, 16, 21, 16, 19, 17, 9, 16, 3, 10, 2]"
"['m', 'o', 't', 'o', 'r', 'p', 'l', 'e', 'x']","[14, 16, 21, 16, 19, 17, 13, 6, 25]"
"['m', 'o', 't', 't', 'i']","[14, 16, 21, 21, 10]"
"['m', 'o', 't', 't', 'o']","[14, 16, 21, 21, 16]"
"['m', 'o', 't', 't', 'o', 'e', 'd']","[14, 16, 21, 21, 16, 6, 5]"
"['m', 'o', 'u', 'c', 'h', 'a', 'r', 'd']","[14, 16, 22, 4, 9, 2, 19, 5]"
"['m', 'o', 'u', 'c', 'h', 'o', 'i', 'r']","[14, 16, 22, 4, 9, 16, 10, 19]"
"['m', 'o', 'u', 'e']","[14, 16, 22, 6]"
"['m', 'o', 'u', 'f', 'l', 'o', 'n']","[14, 16, 22, 7, 13, 16, 15]"
"['m', 'o', 'u', 'l', 'i', 'n']","[14, 16, 22, 13, 10, 15]"
"['m', 'o', 'u', 'n', 't', 'a', 'i', 'n', ' ', 'b', 'u', 'z', 'z', 'a', 'r', 'd']","[14, 16, 22, 15, 21, 2, 10, 15, 0, 3, 22, 27, 27, 2, 19, 5]"
"['m', 'o', 'u', 's', 'm', 'é']","[14, 16, 22, 20, 14, 36]"
"['m', 'o', 'u', 's', 's', 'a', 'k', 'a']","[14, 16, 22, 20, 20, 2, 12, 2]"
"['m', 'o', 'u', 's', 's', 'e']","[14, 16, 22, 20, 20, 6]"
"['m', 'o', 'u', 's', 's', 'e', 'l', 'i', 'k', 'e']","[14, 16, 22, 20, 20, 6, 13, 10, 12, 6]"
"['m', 'o', 'u', 's', 's', 'e', 'u', 'x']","[14, 16, 22, 20, 20, 6, 22, 25]"
"['m', 'o', 'x', ' ', 'n', 'i', 'x']","[14, 16, 25, 0, 15, 10, 25]"
"['m', 'r', 'i', 'd', 'a', 'n', 'g', 'a', 'm']","[14, 19, 10, 5, 2, 15, 8, 2, 14]"
"['m', 'u']","[14, 22]"
"['m', 'u', 'c', 'h', 'o']","[14, 22, 4, 9, 16]"
"['m', 'u', 'c', 'i', 'd']","[14, 22, 4, 10, 5]"
"['m', 'u', 'c', 'k', 'a', 'm', 'u', 'c', 'k']","[14, 22, 4, 12, 2, 14, 22, 4, 12]"
"['m', 'u', 'c', 'k', 'e', 'n', 'd', 'e', 'r']","[14, 22, 4, 12, 6, 15, 5, 6, 19]"
"['m', 'u', 'c', 'o', 'p', 'u', 's']","[14, 22, 4, 16, 17, 22, 20]"
"['m', 'u', 'c', 'o', 'u', 's']","[14, 22, 4, 16, 22, 20]"
"['m', 'u', 'c', 'o', 'u', 's', 'l', 'y']","[14, 22, 4, 16, 22, 20, 13, 26]"
"['m', 'u', 'c', 'o', 'u', 's', 'y']","[14, 22, 4, 16, 22, 20, 26]"
"['m', 'u', 'c', 'u', 'l', 'e', 'n', 't']","[14, 22, 4, 22, 13, 6, 15, 21]"
"['m', 'u', 'f', 't', 'i', ' ', 'd', 'a', 'y']","[14, 22, 7, 21, 10, 0, 5, 2, 26]"
"['m', 'u', 'g', 'h', 'a', 'm']","[14, 22, 8, 9, 2, 14]"
"['m', 'u', 'h', 'a', 'j', 'i', 'r']","[14, 22, 9, 2, 11, 10, 19]"
"['m', 'u', 'i', 's', 'h', 'o', 'n', 'd']","[14, 22, 10, 20, 9, 16, 15, 5]"
"['m', 'u', 'j', 'a', 'h', 'i', 'd', 'e', 'e', 'n']","[14, 22, 11, 2, 9, 10, 5, 6, 6, 15]"
"['m', 'u', 'k', 'h', 't', 'a', 'r']","[14, 22, 12, 9, 21, 2, 19]"
"['m', 'u', 'l', 'a', 'i']","[14, 22, 13, 2, 10]"
"['m', 'u', 'l', 'a', 't', 't', 'r', 'e', 's', 's']","[14, 22, 13, 2, 21, 21, 19, 6, 20, 20]"
"['m', 'u', 'l', 'c', 't']","[14, 22, 13, 4, 21]"
"['m', 'u', 'l', 'i', 'e', 'b', 'r', 'i', 't', 'y']","[14, 22, 13, 10, 6, 3, 19, 10, 21, 26]"
"['m', 'u', 'l', 'i', 'e', 'r']","[14, 22, 13, 10, 6, 19]"
"['m', 'u', 'l', 'i', 'e', 'r', 'l', 'y']","[14, 22, 13, 10, 6, 19, 13, 26]"
"['m', 'u', 'l', 'i', 'e', 'r', 'o', 's', 'e']","[14, 22, 13, 10, 6, 19, 16, 20, 6]"
"['m', 'u', 'l', 'i', 'e', 'r', 'o', 's', 'i', 't', 'y']","[14, 22, 13, 10, 6, 19, 16, 20, 10, 21, 26]"
"['m', 'u', 'l', 'i', 'e', 'r', 't', 'y']","[14, 22, 13, 10, 6, 19, 21, 26]"
"['m', 'u', 'l', 's', 'e']","[14, 22, 13, 20, 6]"
"['m', 'u', 'l', 't', 'a', 'r', 't', 'i', 'c', 'u', 'l', 'a', 't', 'e']","[14, 22, 13, 21, 2, 19, 21, 10, 4, 22, 13, 2, 21, 6]"
"['m', 'u', 'l', 't', 'i', 'a', 'c', 'i', 'n', 'a', 'r']","[14, 22, 13, 21, 10, 2, 4, 10, 15, 2, 19]"
"['m', 'u', 'l', 't', 'i', 'a', 'g', 'e', 'n', 'c', 'y']","[14, 22, 13, 21, 10, 2, 8, 6, 15, 4, 26]"
"['m', 'u', 'l', 't', 'i', 'a', 'g', 'e', 'n', 't']","[14, 22, 13, 21, 10, 2, 8, 6, 15, 21]"
"['m', 'u', 'l', 't', 'i', 'a', 'l', 'l', 'e', 'l', 'i', 'c']","[14, 22, 13, 21, 10, 2, 13, 13, 6, 13, 10, 4]"
"['m', 'u', 'l', 't', 'i', 'a', 'n', 'g', 'u', 'l', 'a', 'r']","[14, 22, 13, 21, 10, 2, 15, 8, 22, 13, 2, 19]"
"['m', 'u', 'l', 't', 'i', 'a', 'n', 't', 'e', 'n', 'n', 'a']","[14, 22, 13, 21, 10, 2, 15, 21, 6, 15, 15, 2]"
"['m', 'u', 'l', 't', 'i', 'a', 'n', 't', 'i', 'b', 'i', 'o', 't', 'i', 'c']","[14, 22, 13, 21, 10, 2, 15, 21, 10, 3, 10, 16, 21, 10, 4]"
"['m', 'u', 'l', 't', 'i', 'a', 'p', 'p', 'l', 'i', 'c', 'a', 't', 'i', 'o', 'n']","[14, 22, 13, 21, 10, 2, 17, 17, 13, 10, 4, 2, 21, 10, 16, 15]"
"['m', 'u', 'l', 't', 'i', 'a', 'r', 'e', 'a']","[14, 22, 13, 21, 10, 2, 19, 6, 2]"
"['m', 'u', 'l', 't', 'i', 'a', 'r', 't', 'i', 'c', 'u', 'l', 'a', 't', 'e']","[14, 22, 13, 21, 10, 2, 19, 21, 10, 4, 22, 13, 2, 21, 6]"
"['m', 'u', 'l', 't', 'i', 'a', 's', 's', 'e', 't']","[14, 22, 13, 21, 10, 2, 20, 20, 6, 21]"
"['m', 'u', 'l', 't', 'i', 'a', 'u', 't', 'h', 'o', 'r']","[14, 22, 13, 21, 10, 2, 22, 21, 9, 16, 19]"
"['m', 'u', 'l', 't', 'i', 'a', 'x', 'i', 's']","[14, 22, 13, 21, 10, 2, 25, 10, 20]"
"['m', 'u', 'l', 't', 'i', 'b', 'i', 'l', 'l', 'i', 'o', 'n']","[14, 22, 13, 21, 10, 3, 10, 13, 13, 10, 16, 15]"
"['m', 'u', 'l', 't', 'i', 'c', 'a', 'c', 'h', 'e']","[14, 22, 13, 21, 10, 4, 2, 4, 9, 6]"
"['m', 'u', 'l', 't', 'i', 'c', 'a', 'm', 'e', 'r', 'a']","[14, 22, 13, 21, 10, 4, 2, 14, 6, 19, 2]"
"['m', 'u', 'l', 't', 'i', 'c', 'a', 'm', 'p', 'u', 's']","[14, 22, 13, 21, 10, 4, 2, 14, 17, 22, 20]"
"['m', 'u', 'l', 't', 'i', 'c', 'a', 'n', 'c', 'e', 'r']","[14, 22, 13, 21, 10, 4, 2, 15, 4, 6, 19]"
"['m', 'u', 'l', 't', 'i', 'c', 'a', 'n', 'd', 'i', 'd', 'a', 't', 'e']","[14, 22, 13, 21, 10, 4, 2, 15, 5, 10, 5, 2, 21, 6]"
"['m', 'u', 'l', 't', 'i', 'c', 'a', 'n', 'o', 'n', 'i', 'c', 'a', 'l']","[14, 22, 13, 21, 10, 4, 2, 15, 16, 15, 10, 4, 2, 13]"
"['m', 'u', 'l', 't', 'i', 'c', 'a', 'p', 'i', 't', 'a', 't', 'e']","[14, 22, 13, 21, 10, 4, 2, 17, 10, 21, 2, 21, 6]"
"['m', 'u', 'l', 't', 'i', 'c', 'a', 'u', 's', 'a', 'l']","[14, 22, 13, 21, 10, 4, 2, 22, 20, 2, 13]"
"['m', 'u', 'l', 't', 'i', 'c', 'e', 'n', 't', 'r', 'a', 'l']","[14, 22, 13, 21, 10, 4, 6, 15, 21, 19, 2, 13]"
"['m', 'u', 'l', 't', 'i', 'c', 'l', 'a', 'n']","[14, 22, 13, 21, 10, 4, 13, 2, 15]"
"['m', 'u', 'l', 't', 'i', 'c', 'l', 'a', 's', 's']","[14, 22, 13, 21, 10, 4, 13, 2, 20, 20]"
"['m', 'u', 'l', 't', 'i', 'c', 'l', 'i', 'e', 'n', 't']","[14, 22, 13, 21, 10, 4, 13, 10, 6, 15, 21]"
"['m', 'u', 'l', 't', 'i', 'c', 'o', 'd', 'e']","[14, 22, 13, 21, 10, 4, 16, 5, 6]"
"['m', 'u', 'l', 't', 'i', 'c', 'o', 'h', 'o', 'r', 't']","[14, 22, 13, 21, 10, 4, 16, 9, 16, 19, 21]"
"['m', 'u', 'l', 't', 'i', 'c', 'o', 'l', 'l', 'i', 's', 'i', 'o', 'n']","[14, 22, 13, 21, 10, 4, 16, 13, 13, 10, 20, 10, 16, 15]"
